[2026-07-13 00:26:55.359] [info]  Application Starting...
[2026-07-13 00:26:55.386] [info]  Local media HTTP server started on port 42899
[2026-07-13 00:26:55.643] [info]  Backend: Saving global config
[2026-07-13 00:26:57.821] [info]  Backend: Loading global config
[2026-07-13 00:26:57.823] [info]  Backend: Loading song list
[2026-07-13 00:26:57.824] [info]  Backend: Saving global config
[2026-07-13 00:28:40.854] [info]  User input: Clicked microphone device dropdown
[2026-07-13 00:28:40.855] [info]  [Renderer Info] User input: Clicked microphone device dropdown
[2026-07-13 00:28:43.063] [info]  User input: Selected microphone device: 9725881fd00a5085220de3c1edcce20e23c402027d5a70b10278f67ed43d7c64
[2026-07-13 00:28:43.064] [info]  [Renderer Info] User input: Selected microphone device: 9725881fd00a5085220de3c1edcce20e23c402027d5a70b10278f67ed43d7c64
[2026-07-13 00:28:43.065] [info]  Backend: Saving global config
[2026-07-13 00:28:43.066] [info]  Backend: Saving global config
[2026-07-13 00:28:43.066] [info]  User input: Clicked microphone device dropdown
[2026-07-13 00:28:43.066] [info]  [Renderer Info] User input: Clicked microphone device dropdown
[2026-07-13 00:28:49.067] [info]  User input: Clicked audience device dropdown
[2026-07-13 00:28:49.068] [info]  [Renderer Info] User input: Clicked audience device dropdown
[2026-07-13 00:28:56.675] [info]  User input: Selected audience device: communications
[2026-07-13 00:28:56.675] [info]  [Renderer Info] User input: Selected audience device: communications
[2026-07-13 00:28:56.677] [info]  Backend: Saving global config
[2026-07-13 00:28:56.677] [info]  Backend: Saving global config
[2026-07-13 00:28:56.678] [info]  User input: Clicked audience device dropdown
[2026-07-13 00:28:56.678] [info]  [Renderer Info] User input: Clicked audience device dropdown
[2026-07-13 00:28:57.459] [info]  User input: Clicked monitor device dropdown
[2026-07-13 00:28:57.459] [info]  [Renderer Info] User input: Clicked monitor device dropdown
[2026-07-13 00:28:58.403] [info]  User input: Selected monitor device: 74b9b3b145edac8a04213d2ab250964a39234f8ac173d6b5161f0fed494bbae7
[2026-07-13 00:28:58.404] [info]  [Renderer Info] User input: Selected monitor device: 74b9b3b145edac8a04213d2ab250964a39234f8ac173d6b5161f0fed494bbae7
[2026-07-13 00:28:58.405] [info]  Backend: Saving global config
[2026-07-13 00:28:58.405] [info]  Backend: Saving global config
[2026-07-13 00:28:58.405] [info]  User input: Clicked monitor device dropdown
[2026-07-13 00:28:58.406] [info]  [Renderer Info] User input: Clicked monitor device dropdown
[2026-07-13 00:29:00.007] [info]  User input: Selected song "2"
[2026-07-13 00:29:00.007] [info]  [Renderer Info] User input: Selected song "2"
[2026-07-13 00:29:00.008] [info]  loadBuffers: Starting for "2"
[2026-07-13 00:29:00.009] [info]  [Renderer Info] loadBuffers: Starting for "2"
[2026-07-13 00:29:00.009] [info]  loadBuffers: Instrumental path: F:\Kareoke\Kareoke\PeachyKareoke\instrumental\2.wav
[2026-07-13 00:29:00.009] [info]  [Renderer Info] loadBuffers: Instrumental path: F:\Kareoke\Kareoke\PeachyKareoke\instrumental\2.wav
[2026-07-13 00:29:00.010] [info]  loadBuffers: Vocal path: F:\Kareoke\Kareoke\PeachyKareoke\vocal\2.wav
[2026-07-13 00:29:00.010] [info]  [Renderer Info] loadBuffers: Vocal path: F:\Kareoke\Kareoke\PeachyKareoke\vocal\2.wav
[2026-07-13 00:29:00.011] [info]  loadBuffers: Building AudioContext
[2026-07-13 00:29:00.011] [info]  [Renderer Info] loadBuffers: Building AudioContext
[2026-07-13 00:29:00.025] [info]  Backend: Saving song config for "2"
[2026-07-13 00:29:00.129] [info]  loadBuffers: AudioContext state=running, sampleRate=48000
[2026-07-13 00:29:00.130] [info]  [Renderer Info] loadBuffers: AudioContext state=running, sampleRate=48000
[2026-07-13 00:29:00.130] [info]  loadBuffers: Fetching instrumental buffer
[2026-07-13 00:29:00.131] [info]  [Renderer Info] loadBuffers: Fetching instrumental buffer
[2026-07-13 00:29:00.131] [info]  loadAudioBuffer: Fetching F:\Kareoke\Kareoke\PeachyKareoke\instrumental\2.wav
[2026-07-13 00:29:00.132] [info]  [Renderer Info] loadAudioBuffer: Fetching F:\Kareoke\Kareoke\PeachyKareoke\instrumental\2.wav
[2026-07-13 00:29:00.141] [info]  loadAudioBuffer: HTTP OK, reading arrayBuffer for F:\Kareoke\Kareoke\PeachyKareoke\instrumental\2.wav
[2026-07-13 00:29:00.143] [info]  [Renderer Info] loadAudioBuffer: HTTP OK, reading arrayBuffer for F:\Kareoke\Kareoke\PeachyKareoke\instrumental\2.wav
[2026-07-13 00:29:00.200] [info]  loadAudioBuffer: ArrayBuffer received, size=24952876 bytes. Parsing WAV...
[2026-07-13 00:29:00.200] [info]  [Renderer Info] loadAudioBuffer: ArrayBuffer received, size=24952876 bytes. Parsing WAV...
[2026-07-13 00:29:00.201] [info]  parseWav: channels=2, sampleRate=44100, bits=16, samples/ch=6238208
[2026-07-13 00:29:00.201] [info]  [Renderer Info] parseWav: channels=2, sampleRate=44100, bits=16, samples/ch=6238208
[2026-07-13 00:29:00.249] [info]  loadAudioBuffer: Parsed successfully for F:\Kareoke\Kareoke\PeachyKareoke\instrumental\2.wav, duration=141.46s
[2026-07-13 00:29:00.250] [info]  [Renderer Info] loadAudioBuffer: Parsed successfully for F:\Kareoke\Kareoke\PeachyKareoke\instrumental\2.wav, duration=141.46s
[2026-07-13 00:29:00.250] [info]  loadBuffers: Instrumental loaded. duration=141.46s, channels=2
[2026-07-13 00:29:00.250] [info]  [Renderer Info] loadBuffers: Instrumental loaded. duration=141.46s, channels=2
[2026-07-13 00:29:00.250] [info]  loadBuffers: Fetching vocal buffer
[2026-07-13 00:29:00.251] [info]  [Renderer Info] loadBuffers: Fetching vocal buffer
[2026-07-13 00:29:00.251] [info]  loadAudioBuffer: Fetching F:\Kareoke\Kareoke\PeachyKareoke\vocal\2.wav
[2026-07-13 00:29:00.251] [info]  [Renderer Info] loadAudioBuffer: Fetching F:\Kareoke\Kareoke\PeachyKareoke\vocal\2.wav
[2026-07-13 00:29:00.255] [info]  loadAudioBuffer: HTTP OK, reading arrayBuffer for F:\Kareoke\Kareoke\PeachyKareoke\vocal\2.wav
[2026-07-13 00:29:00.255] [info]  [Renderer Info] loadAudioBuffer: HTTP OK, reading arrayBuffer for F:\Kareoke\Kareoke\PeachyKareoke\vocal\2.wav
[2026-07-13 00:29:00.308] [info]  loadAudioBuffer: ArrayBuffer received, size=24952876 bytes. Parsing WAV...
[2026-07-13 00:29:00.308] [info]  [Renderer Info] loadAudioBuffer: ArrayBuffer received, size=24952876 bytes. Parsing WAV...
[2026-07-13 00:29:00.308] [info]  parseWav: channels=2, sampleRate=44100, bits=16, samples/ch=6238208
